Designator,Qnty,Comment,Footprint,LCSC Part #,Externally Sourced,REMARK
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C27,C28,C29",26,0.1uF,402,,,
"C24,C25",2,22pF,402,,,
C26,1,10uF,603,,,
"C30,C31,C32,C33,C35,C36",6,22uF,805,C45783,,
C34,1,1uF,603,,,
D1,1,LED,402,,,
D2,1,PMEG1030EH,SOD-123F,C552800,,
J1,1,HD06-19-RVS-MSMT-TR,HD06-19-RVS-MSMT-TR,,HD06-19-RVS-MSMT-TR,
J2,1,USB-307HE-B-SU,SMD,C309351,,
"L1,L2,L3",3,2.2uH,1008,C36400,,
"R1,R2",2,4.7k,402,,,
R3,1,1.6k,402,,,
R4,1,0R,402,,,
R5,1,2k,402,,,
R6,1,200R,402,,,
"R7,R8",2,1k,402,,,
R9,1,5.1k,402,,,
R10,1,100k,402,,,
R11,1,680k,402,,,
"R12,R13,R16",3,150k,402,,,
R14,1,470k,402,,,
R15,1,180k,402,,,
U1,1,MS2130,QFN-64-EP(9x9),C5905137,,
"U2,U3,U4,U5",4,TPD4E02B04DQA,USON-10(1x2.5),C106794,,
U6,1,EA3059,QFN-24-EP(4x4),C111586,,
U8,1,W25Q16JVUXIQ,USON-8-EP(2x3),C2843335,,
Y1,1,Q22FA12800489,Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm,,,
